s,a,r,sp
838,2,-2,705
705,1,-2,607
607,1,-2,542
542,0,0,476
476,0,0,0
1334,0,0,1268
1268,0,0,1202
1202,0,0,1136
1136,0,0,1070
1070,2,-2,970
970,2,-2,837
837,2,-2,671
671,0,0,506
506,1,-2,375
375,1,-2,277
1275,1,-2,1474
1474,2,-2,1638
1638,0,0,1803
1803,0,0,1968
1968,2,-2,0
1730,1,-2,1698
1698,0,0,1665
1665,0,0,1632
1632,0,0,1599
1599,1,-2,1600
1600,0,0,1600
1600,1,-2,1634
1634,0,0,1667
1667,1,-2,1734
1734,0,0,0
1629,1,-2,1531
1531,2,-2,1398
1398,0,0,1266
1266,0,0,1134
1134,0,0,1002
1002,1,-2,904
904,2,-2,771
771,1,-2,0
1108,0,0,1207
1207,2,-2,1272
1272,0,0,1338
1338,0,0,1404
1404,1,-2,1504
1504,0,0,1603
1603,0,0,1702
1702,2,-2,1767
1767,0,0,0
1499,2,-2,1399
1399,2,-2,1266
1266,0,0,1134
1134,1,-2,1036
1036,0,0,937
937,0,0,838
838,0,0,739
739,0,0,640
640,0,0,541
541,1,-2,476
476,1,-2,444
444,0,0,411
411,0,0,0
777,1,-2,877
877,2,-2,942
942,1,-2,1042
1042,0,0,1141
1141,0,0,1240
1240,2,-2,1305
1305,0,0,1371
1371,1,-2,1471
1471,1,-2,1604
1604,0,0,1736
1736,1,-2,1902
1902,1,-2,2101
2101,2,-2,2265
2265,0,0,0
1141,1,-2,1274
1274,1,-2,1440
1440,1,-2,1639
1639,2,-2,1803
1803,2,-2,1934
1934,0,0,2066
2066,0,0,2198
2198,0,0,2330
2330,2,-2,0
1668,0,0,1734
1734,0,0,1800
1800,0,0,1866
1866,0,0,1932
1932,1,-2,0
1831,0,0,1831
1831,0,0,1831
1831,0,0,1831
1831,1,-2,1865
1865,1,-2,1932
1932,2,-2,1964
1964,0,0,1997
1997,2,-2,1996
1996,0,0,1996
1996,0,0,1996
1996,0,0,1996
1170,0,0,1137
1137,0,0,1104
1104,2,-2,1037
1037,2,-2,937
937,1,-2,872
872,2,-2,772
772,2,-2,639
639,0,0,507
507,2,-2,341
341,2,-2,0
1403,0,0,1436
1436,0,0,1469
1469,0,0,1502
1502,0,0,1535
1535,1,-2,1602
1602,0,0,1668
1668,1,-2,1768
1768,0,0,1867
1867,1,-2,2000
2000,2,-2,2098
2098,1,-2,2231
2231,2,-2,2329
2329,0,0,2428
1240,2,-2,1305
1305,0,0,1371
1371,0,0,1437
1437,1,-2,1537
1537,2,-2,1602
1602,2,-2,1634
1634,1,-2,1701
1701,0,0,0
1633,0,0,1633
1633,1,-2,1667
1667,0,0,1700
1700,2,-2,1699
1699,1,-2,1733
1733,1,-2,1800
1800,2,-2,1832
1832,1,-2,1899
1899,0,0,1965
1965,0,0,2031
2031,2,-2,2063
2063,2,-2,2062
2062,1,-2,2096
2096,2,-2,2095
2095,0,0,2095
2095,0,0,2095
2095,2,-2,2061
1333,2,-2,1200
1200,0,0,1068
1068,2,-2,902
902,0,0,737
737,1,-2,606
606,0,0,474
474,0,0,0
1139,1,-2,1206
1206,0,0,1272
1272,2,-2,1304
1304,0,0,1337
1337,0,0,1370
1370,2,-2,1369
1369,2,-2,1335
1335,1,-2,1336
1336,1,-2,1370
1370,0,0,1403
1403,2,-2,1402
1402,2,-2,1368
1368,0,0,1335
1335,0,0,1302
1302,0,0,1269
1269,1,-2,1270
1270,0,0,1270
1270,2,-2,1236
1236,1,-2,1237
1104,0,0,1071
1071,2,-2,1004
1004,1,-2,972
972,2,-2,905
905,2,-2,805
805,0,0,706
706,0,0,607
607,0,0,508
508,1,-2,443
443,0,0,377
377,2,-2,277
277,1,-2,212
1405,0,0,1504
1504,0,0,1603
1603,1,-2,1736
1736,2,-2,1834
1834,2,-2,1899
1899,2,-2,0
1503,1,-2,1603
1603,1,-2,1736
1736,0,0,1868
1868,0,0,2000
2000,1,-2,2166
2166,0,0,2331
2331,0,0,2496
2496,2,-2,0
1700,2,-2,1699
1699,0,0,1699
1699,1,-2,1733
1733,2,-2,1732
1732,0,0,1732
1732,1,-2,1766
1766,1,-2,1833
1833,1,-2,1933
1933,2,-2,0
1001,0,0,836
836,1,-2,705
705,0,0,0
942,2,-2,974
974,0,0,1007
1007,2,-2,1006
1006,0,0,1006
1006,1,-2,1040
1040,0,0,1073
1073,0,0,1106
1106,0,0,1139
1139,0,0,1172
1172,2,-2,1171
1663,0,0,1564
1564,2,-2,1431
1431,1,-2,1333
1333,2,-2,1200
1200,0,0,1068
1068,0,0,936
936,1,-2,838
838,0,0,739
739,1,-2,674
674,0,0,608
608,1,-2,0
1174,2,-2,1239
1239,2,-2,1271
1271,1,-2,1338
1338,1,-2,1438
1438,1,-2,1571
1571,0,0,1703
1703,0,0,1835
1835,0,0,1967
1967,0,0,0
1763,2,-2,1663
1663,2,-2,1530
1530,0,0,1398
1398,2,-2,1232
1232,1,-2,1101
1101,0,0,969
969,0,0,837
837,0,0,705
705,1,-2,607
607,1,-2,542
542,0,0,476
476,0,0,410
410,0,0,344
344,0,0,278
278,0,0,212
1104,1,-2,1105
1105,1,-2,1139
1139,0,0,1172
1172,1,-2,1239
1239,1,-2,1339
1339,0,0,1438
1438,1,-2,0
1297,1,-2,1133
1133,1,-2,1002
1002,0,0,870
870,2,-2,0
1371,0,0,1437
1437,0,0,1503
1503,1,-2,1603
1603,1,-2,1736
1736,2,-2,1834
1834,2,-2,1899
1899,0,0,1965
1965,0,0,2031
2031,0,0,2097
2097,0,0,0
1270,1,-2,1304
1304,0,0,1337
1337,0,0,1370
1370,2,-2,1369
1369,2,-2,1335
1335,1,-2,1336
1336,0,0,1336
1336,0,0,1336
1336,0,0,1336
1336,1,-2,1370
1370,2,-2,1369
1466,1,-2,1434
1434,2,-2,1367
1367,0,0,1301
1301,2,-2,1201
1201,2,-2,1068
1068,0,0,936
936,0,0,804
