s,a,r,sp
1006,1,-2,1040
1040,1,-2,1107
1107,0,0,1173
1173,1,-2,1273
1273,1,-2,1406
1406,1,-2,1572
1572,1,-2,0
1570,1,-2,1703
1703,2,-2,1801
1801,2,-2,1866
1866,2,-2,1898
1898,0,0,0
1207,2,-2,1272
1272,0,0,1338
1338,0,0,1404
1404,0,0,1470
1470,2,-2,1502
1502,0,0,1535
1535,1,-2,1602
1602,0,0,0
1436,0,0,1469
1469,0,0,1502
1502,2,-2,1501
1501,0,0,1501
1501,1,-2,1535
1535,2,-2,1534
1534,0,0,1534
1534,1,-2,1568
1568,2,-2,1567
1567,0,0,1567
1567,0,0,1567
1567,0,0,1567
1567,2,-2,1533
1533,0,0,1500
1500,0,0,1467
1829,1,-2,1797
1797,2,-2,1730
1730,0,0,1664
1664,0,0,1598
1598,0,0,1532
1532,0,0,1466
1466,2,-2,1366
1366,1,-2,1301
1301,2,-2,1201
1201,1,-2,1136
1136,2,-2,1036
1036,0,0,937
1597,0,0,1498
1498,2,-2,1365
1365,0,0,1233
1233,1,-2,1135
1135,1,-2,1070
1070,0,0,1004
1004,0,0,938
938,2,-2,838
838,2,-2,705
705,2,-2,0
1733,1,-2,1800
1800,0,0,1866
1866,0,0,1932
1932,0,0,1998
1998,2,-2,2030
2030,0,0,2063
2063,0,0,2096
2096,2,-2,0
1269,0,0,1236
1236,0,0,1203
1203,0,0,1170
1170,1,-2,1171
1171,0,0,1171
1171,2,-2,1137
1137,1,-2,1138
1138,0,0,1138
1138,0,0,1138
1138,0,0,1138
1138,0,0,1138
1138,0,0,1138
1138,1,-2,1172
1172,2,-2,1171
1171,2,-2,1137
1302,0,0,1269
1269,0,0,1236
1236,2,-2,1169
1169,0,0,1103
1103,1,-2,1071
1071,0,0,1038
1038,2,-2,971
971,0,0,905
905,2,-2,805
805,0,0,706
706,2,-2,573
573,0,0,441
441,0,0,309
309,1,-2,211
211,0,0,0
1336,0,0,1336
1336,0,0,1336
1336,0,0,1336
1336,2,-2,1302
1302,0,0,1269
1269,1,-2,1270
1270,0,0,1270
1270,0,0,1270
1270,2,-2,1236
1236,0,0,1203
1203,1,-2,1204
1204,1,-2,1238
1238,2,-2,1237
1237,0,0,1237
1237,0,0,1237
1237,1,-2,1271
1271,2,-2,1270
1270,2,-2,1236
974,1,-2,1041
1041,0,0,1107
1107,0,0,1173
1173,0,0,1239
1239,1,-2,1339
1339,1,-2,1472
1472,2,-2,1570
1570,0,0,1669
1669,2,-2,1734
1734,2,-2,1766
1766,2,-2,1765
1765,0,0,1765
1765,0,0,1765
1864,0,0,1864
1864,2,-2,1830
1830,0,0,1797
1797,1,-2,1798
1798,0,0,1798
1798,1,-2,1832
1832,2,-2,1831
1831,0,0,1831
1831,0,0,1831
1831,0,0,1831
1831,1,-2,1865
1865,2,-2,1864
1103,0,0,1037
1037,2,-2,937
937,0,0,838
838,0,0,739
739,2,-2,606
606,2,-2,440
440,0,0,0
1302,0,0,1269
1269,1,-2,1270
1270,0,0,1270
1270,2,-2,1236
1236,0,0,1203
1203,1,-2,1204
1204,1,-2,1238
1238,0,0,1271
1271,0,0,1304
1304,0,0,1337
1337,2,-2,1336
1336,1,-2,1370
1370,2,-2,1369
1369,1,-2,1403
1001,0,0,836
836,0,0,671
671,0,0,0
1602,0,0,1668
1668,0,0,1734
1734,0,0,1800
1800,0,0,1866
1866,0,0,1932
1932,2,-2,0
1236,0,0,1203
1203,0,0,1170
1170,0,0,1137
1137,1,-2,1138
1138,0,0,1138
1138,1,-2,1172
1172,1,-2,1239
1239,2,-2,1271
1271,1,-2,1338
1338,0,0,1404
1404,0,0,1470
1470,1,-2,0
1734,0,0,1800
1800,0,0,1866
1866,2,-2,1898
1898,0,0,0
1330,1,-2,1166
1166,0,0,1001
1001,0,0,836
836,1,-2,0
1371,0,0,1437
1437,0,0,1503
1503,0,0,1569
1569,2,-2,1601
1601,1,-2,1668
1668,1,-2,1768
1768,0,0,1867
1867,0,0,1966
1966,1,-2,2099
2099,0,0,0
1202,0,0,1136
1136,1,-2,1104
1104,1,-2,1105
1105,0,0,1105
1105,1,-2,1139
1139,0,0,1172
1172,2,-2,1171
1171,2,-2,1137
1137,0,0,0
1466,0,0,1400
1400,0,0,1334
1334,1,-2,1302
1302,2,-2,1235
1235,1,-2,1203
1203,0,0,1170
1170,2,-2,1103
1103,0,0,1037
1037,0,0,971
971,1,-2,939
939,0,0,906
906,0,0,873
873,1,-2,0
1464,2,-2,1298
1298,0,0,1133
1133,2,-2,934
934,1,-2,770
770,1,-2,639
639,0,0,507
507,0,0,0
1038,1,-2,1039
1039,0,0,1039
1039,2,-2,1005
1005,1,-2,1006
1006,1,-2,1040
1040,1,-2,1107
1107,1,-2,1207
1207,2,-2,1272
1272,0,0,1338
1338,0,0,0
1068,0,0,936
936,2,-2,770
770,1,-2,639
639,0,0,0
1240,1,-2,1373
1373,2,-2,1471
1471,0,0,1570
1570,2,-2,1635
1635,1,-2,1735
1735,0,0,1834
1834,1,-2,1967
1967,0,0,0
1202,0,0,1136
1136,0,0,1070
1070,0,0,1004
1004,0,0,938
938,2,-2,838
838,0,0,739
739,0,0,640
640,0,0,541
541,2,-2,0
1368,0,0,1335
1335,0,0,1302
1302,0,0,1269
1269,1,-2,1270
1270,0,0,1270
1270,0,0,1270
1270,2,-2,1236
1236,2,-2,1169
1169,2,-2,1069
1069,1,-2,1004
1004,0,0,938
938,1,-2,906
906,0,0,873
873,1,-2,874
1108,0,0,1207
1207,2,-2,1272
1272,0,0,1338
1338,0,0,1404
1404,1,-2,1504
1504,1,-2,1637
1637,2,-2,1735
1735,1,-2,1868
1868,0,0,0
1801,2,-2,1866
1866,2,-2,0
1301,0,0,1235
1235,0,0,1169
1169,2,-2,1069
1069,0,0,970
970,0,0,871
871,1,-2,806
806,0,0,740
740,0,0,674
674,0,0,608
608,0,0,0
1402,1,-2,1436
1436,0,0,1469
1469,0,0,1502
1502,0,0,1535
1535,0,0,1568
1568,0,0,1601
1601,0,0,1634
1634,0,0,1667
1667,0,0,1700
1700,1,-2,1767
1767,0,0,1833
1833,0,0,1899
1899,0,0,1965
1965,0,0,2031
2031,0,0,0
1502,1,-2,1569
1569,2,-2,1601
1601,0,0,1634
1634,0,0,1667
1667,0,0,1700
1700,0,0,1733
1733,0,0,1766
1766,1,-2,1833
1833,1,-2,1933
1933,0,0,2032
2032,2,-2,2097
1369,2,-2,1335
1335,1,-2,1336
1336,0,0,1336
1336,2,-2,1302
1302,1,-2,1303
1303,2,-2,1269
1269,1,-2,1270
1270,1,-2,1304
1304,0,0,1337
1337,2,-2,1336
1336,2,-2,1302
1302,1,-2,1303
1303,0,0,1303
1303,1,-2,1337
1337,0,0,1370
1370,2,-2,1369
1369,1,-2,1403
1368,0,0,1335
1335,1,-2,1336
1336,1,-2,1370
1370,1,-2,1437
1437,0,0,1503
1503,0,0,1569
1569,0,0,1635
1635,0,0,1701
1701,1,-2,0
809,0,0,842
842,1,-2,909
909,0,0,975
975,2,-2,1007
1007,0,0,1040
1040,0,0,1073
1073,1,-2,1140
1140,0,0,1206
1206,0,0,1272
1272,0,0,1338
1338,0,0,1404
1404,2,-2,1436
1436,0,0,1469
1469,1,-2,1536
1402,2,-2,1368
1368,0,0,1335
1335,1,-2,1336
1336,1,-2,1370
1370,2,-2,1369
1369,0,0,1369
1369,0,0,1369
1369,1,-2,1403
1403,0,0,1436
1436,2,-2,1435
1435,1,-2,1469
1469,0,0,1502
1502,0,0,1535
1535,0,0,1568
1568,0,0,1601
1601,1,-2,1668
1668,2,-2,1700
1700,1,-2,1767
1767,2,-2,1799
1799,2,-2,1798
1104,0,0,1071
1071,1,-2,1072
1072,2,-2,1038
1038,2,-2,971
971,1,-2,939
939,2,-2,872
872,0,0,806
806,1,-2,774
774,1,-2,775
775,0,0,775
775,0,0,775
775,0,0,775
775,0,0,775
775,0,0,0
1035,0,0,903
903,1,-2,805
805,2,-2,0
1038,2,-2,971
971,0,0,905
905,2,-2,805
805,1,-2,740
740,1,-2,708
708,0,0,675
675,2,-2,608
608,1,-2,576
576,1,-2,577
577,1,-2,611
611,2,-2,610
610,0,0,0
1799,0,0,1832
1832,2,-2,1831
1831,2,-2,1797
1797,1,-2,1798
1798,0,0,1798
1798,2,-2,0
1036,1,-2,971
971,0,0,905
905,0,0,839
839,1,-2,0
1136,0,0,1070
1070,2,-2,970
970,1,-2,905
905,0,0,839
839,0,0,773
773,0,0,707
707,1,-2,675
675,1,-2,0
1334,0,0,1268
1268,1,-2,1236
1236,1,-2,1237
1237,0,0,1237
1237,0,0,1237
1237,1,-2,1271
1271,1,-2,1338
1338,0,0,1404
1404,2,-2,0
1208,1,-2,1374
1374,0,0,1539
1539,1,-2,1738
1738,2,-2,1902
1902,1,-2,2101
2101,0,0,0
1633,2,-2,1599
1599,1,-2,1600
1600,0,0,1600
1600,0,0,1600
1600,0,0,1600
1600,2,-2,1566
1566,2,-2,1499
1499,2,-2,1399
1399,0,0,1300
1300,0,0,1201
1201,0,0,1102
1102,2,-2,969
1238,2,-2,1237
1237,1,-2,1271
1271,0,0,1304
1304,0,0,1337
1337,0,0,1370
1370,0,0,1403
1403,2,-2,1402
1402,1,-2,1436
1436,0,0,1469
1469,2,-2,1468
1468,0,0,1468
1468,2,-2,1434
1434,0,0,1401
1401,1,-2,1402
1402,1,-2,1436
1436,0,0,1469
1469,2,-2,1468
1468,0,0,1468
1134,1,-2,1036
1036,1,-2,971
971,1,-2,939
939,0,0,0
1539,1,-2,1738
1738,2,-2,1902
1902,0,0,0
970,0,0,871
871,2,-2,738
738,0,0,606
606,0,0,0
1837,0,0,0
1631,0,0,1565
1565,2,-2,1465
1465,0,0,1366
1366,0,0,1267
1267,1,-2,1202
1202,0,0,1136
1136,2,-2,1036
1036,1,-2,971
971,0,0,905
905,2,-2,805
805,0,0,706
706,2,-2,573
573,2,-2,407
407,2,-2,208
208,1,-2,0
1205,2,-2,1204
1204,0,0,1204
1204,0,0,1204
1204,1,-2,1238
1238,1,-2,1305
1305,2,-2,1337
1337,0,0,1370
1370,0,0,1403
1403,1,-2,1470
1470,1,-2,1570
1570,2,-2,1635
1635,1,-2,1735
1735,0,0,1834
1834,0,0,1933
1035,2,-2,869
869,1,-2,738
738,1,-2,0
1002,1,-2,904
904,0,0,805
805,0,0,0
1635,2,-2,1667
1667,0,0,1700
1700,0,0,1733
1733,0,0,1766
1766,1,-2,1833
1833,0,0,0
943,1,-2,1076
1076,2,-2,1174
1174,0,0,1273
1273,2,-2,1338
1338,0,0,1404
1404,1,-2,1504
1504,2,-2,1569
1569,2,-2,1601
1601,1,-2,1668
1668,0,0,1734
1734,0,0,0
1503,1,-2,1603
1603,0,0,1702
1702,0,0,1801
1801,0,0,1900
1900,1,-2,2033
2033,2,-2,2131
2131,0,0,2230
2230,2,-2,0
978,1,-2,1177
1177,0,0,1375
1375,2,-2,1539
1539,1,-2,1738
1738,0,0,1936
1936,1,-2,2168
2168,0,0,0
905,2,-2,805
805,0,0,706
706,2,-2,573
573,0,0,0
1404,1,-2,1504
1504,1,-2,1637
1637,0,0,1769
1769,0,0,1901
1901,0,0,2033
2033,1,-2,2199
2199,2,-2,2330
2330,0,0,2462
2462,1,-2,0
1798,1,-2,1832
1832,2,-2,1831
1831,0,0,1831
1831,1,-2,1865
1865,2,-2,1864
1864,2,-2,1830
1830,2,-2,1763
1763,1,-2,1731
1731,0,0,1698
1698,0,0,1665
1665,0,0,1632
1632,2,-2,1565
1335,2,-2,1268
1268,0,0,1202
1202,0,0,1136
1136,0,0,1070
1070,1,-2,1038
1038,0,0,1005
1005,0,0,972
972,2,-2,905
905,0,0,839
839,1,-2,807
807,1,-2,808
808,1,-2,842
1431,0,0,1299
1299,1,-2,1201
1201,1,-2,1136
1136,0,0,1070
1070,1,-2,1038
1038,0,0,0
906,1,-2,907
907,2,-2,873
873,0,0,840
840,0,0,807
807,1,-2,808
808,1,-2,842
842,0,0,875
875,1,-2,0
1469,1,-2,1536
1536,0,0,1602
1602,0,0,1668
1668,0,0,1734
1734,0,0,1800
1800,0,0,1866
1866,1,-2,1966
1966,0,0,2065
2065,0,0,2164
2164,0,0,2263
2263,1,-2,2396
2396,1,-2,0
1206,1,-2,1306
1306,2,-2,1371
1371,2,-2,1403
1403,1,-2,1470
1470,1,-2,1570
1570,1,-2,1703
1703,1,-2,1869
1869,2,-2,2000
2000,0,0,2132
2132,1,-2,2298
2298,2,-2,2429
2429,2,-2,0
1307,0,0,1439
1439,1,-2,1605
1605,1,-2,1804
1804,0,0,2002
2002,0,0,2200
2200,1,-2,0
1301,0,0,1235
1235,0,0,1169
1169,2,-2,1069
1069,0,0,970
970,2,-2,837
837,0,0,705
705,2,-2,539
539,0,0,374
374,0,0,209
209,1,-2,0
1402,1,-2,1436
1436,1,-2,1503
1503,2,-2,1535
1535,1,-2,1602
1602,1,-2,1702
1702,0,0,1801
1801,0,0,1900
1900,2,-2,1965
1965,2,-2,1997
1997,0,0,2030
2030,1,-2,0
805,2,-2,672
672,0,0,0
1303,0,0,1303
1303,0,0,1303
1303,1,-2,1337
1337,2,-2,1336
1336,2,-2,1302
1302,0,0,1269
1269,0,0,1236
1236,2,-2,1169
1169,0,0,1103
1103,0,0,1037
1037,2,-2,937
937,1,-2,872
872,1,-2,840
840,2,-2,773
773,0,0,707
707,0,0,641
641,0,0,0
942,0,0,1008
1008,0,0,1074
1074,0,0,1140
1140,2,-2,1172
1172,0,0,1205
1205,0,0,1238
1238,2,-2,1237
1237,2,-2,1203
1203,0,0,1170
1170,1,-2,1171
1171,0,0,1171
1171,2,-2,1137
1137,0,0,0
1307,2,-2,1405
1405,0,0,1504
1504,1,-2,1637
1637,0,0,1769
1769,2,-2,1867
1867,0,0,0
1706,0,0,1937
1937,1,-2,0
1136,2,-2,1036
1036,0,0,937
937,0,0,838
838,0,0,739
739,1,-2,674
674,0,0,608
608,0,0,542
542,0,0,0
1398,2,-2,1232
1232,0,0,1067
1067,0,0,902
902,0,0,737
737,2,-2,538
538,0,0,0
810,0,0,876
876,1,-2,976
976,0,0,1075
1075,0,0,1174
1174,1,-2,1307
1307,2,-2,1405
1405,2,-2,1470
1470,0,0,1536
1536,0,0,1602
1602,2,-2,1634
1634,2,-2,1633
1633,2,-2,1599
1599,0,0,1566
1566,0,0,1533
1533,1,-2,1534
1534,1,-2,1568
1568,2,-2,1567
1567,2,-2,0
907,2,-2,873
873,2,-2,806
806,0,0,740
740,2,-2,640
640,2,-2,507
507,0,0,375
375,0,0,243
243,0,0,0
1006,2,-2,972
972,2,-2,905
905,1,-2,873
873,0,0,840
840,1,-2,841
841,1,-2,875
875,2,-2,874
874,0,0,874
874,2,-2,840
840,2,-2,773
773,0,0,707
707,0,0,641
641,0,0,575
575,0,0,509
509,0,0,443
1631,0,0,1565
1565,2,-2,1465
1465,1,-2,1400
1400,1,-2,1368
1368,0,0,1335
1335,0,0,1302
1302,0,0,1269
1269,0,0,1236
1236,0,0,1203
1203,0,0,1170
1170,0,0,1137
1137,2,-2,1070
1070,0,0,1004
1004,1,-2,972
972,2,-2,0
1234,2,-2,1101
1101,0,0,969
969,1,-2,871
871,2,-2,738
738,1,-2,640
640,1,-2,0
1237,1,-2,1271
1271,2,-2,1270
1270,0,0,1270
1270,2,-2,1236
1236,0,0,1203
1203,2,-2,1136
1136,0,0,1070
1070,1,-2,1038
1038,1,-2,1039
1039,1,-2,1073
1073,2,-2,1072
1072,0,0,1072
1072,0,0,1072
1400,0,0,1334
1334,1,-2,1302
1302,0,0,1269
1269,0,0,1236
1236,0,0,1203
1203,1,-2,1204
1204,0,0,1204
1204,0,0,1204
1204,1,-2,1238
1238,0,0,1271
1271,0,0,1304
1304,0,0,0
1268,1,-2,1236
1236,0,0,1203
1203,1,-2,1204
1204,0,0,1204
1204,0,0,1204
1204,0,0,1204
1204,2,-2,1170
1170,0,0,1137
1137,2,-2,1070
1070,0,0,0
1136,1,-2,1104
1104,0,0,1071
1071,0,0,1038
1038,2,-2,971
971,1,-2,939
939,1,-2,940
940,2,-2,906
906,0,0,0
838,0,0,739
739,0,0,0
1298,1,-2,1167
1167,1,-2,1069
1069,0,0,970
970,1,-2,0
1467,1,-2,1468
1468,0,0,1468
1468,2,-2,1434
1434,0,0,1401
1401,0,0,1368
1368,0,0,1335
1335,0,0,1302
1302,0,0,1269
1269,2,-2,1202
1202,0,0,1136
1136,2,-2,1036
1036,2,-2,903
1076,1,-2,1242
1242,0,0,1407
1407,0,0,1572
1572,1,-2,1771
1771,2,-2,1935
1935,0,0,2100
2100,2,-2,0
806,0,0,740
740,0,0,674
674,0,0,0
1135,2,-2,1002
1002,2,-2,836
836,1,-2,705
705,1,-2,607
607,1,-2,0
1537,0,0,1636
1636,0,0,1735
1735,0,0,1834
1834,1,-2,1967
1967,1,-2,0
1239,0,0,1305
1305,0,0,1371
1371,0,0,1437
1437,1,-2,1537
1537,0,0,1636
1636,0,0,1735
1735,0,0,1834
1834,0,0,1933
1933,1,-2,2066
2066,0,0,2198
2198,0,0,2330
2330,0,0,0
1337,1,-2,1404
1404,2,-2,1436
1436,0,0,1469
1469,0,0,1502
1502,0,0,1535
1535,2,-2,1534
1534,0,0,1534
1534,0,0,1534
1534,1,-2,1568
1568,1,-2,1635
1635,2,-2,1667
1667,0,0,1700
1700,0,0,1733
1733,0,0,1766
1766,0,0,1799
1799,0,0,1832
1238,0,0,1271
1271,1,-2,1338
1338,1,-2,1438
1438,0,0,1537
1537,0,0,1636
1636,0,0,1735
1735,0,0,1834
1834,1,-2,1967
1967,0,0,2099
2099,2,-2,2197
2197,1,-2,0
1566,0,0,1533
1533,1,-2,1534
1534,2,-2,1500
1500,0,0,1467
1467,1,-2,1468
1468,1,-2,1502
1502,0,0,1535
1535,2,-2,1534
1534,2,-2,1500
1500,0,0,1467
1302,2,-2,1235
1235,2,-2,1135
1135,2,-2,1002
1002,0,0,870
870,1,-2,772
772,2,-2,639
639,0,0,507
507,0,0,375
375,0,0,0
1009,0,0,1108
1108,2,-2,1173
1173,2,-2,1205
1205,1,-2,1272
1272,0,0,1338
1338,2,-2,1370
1370,0,0,1403
1403,2,-2,1402
1402,0,0,1402
1402,0,0,0
1136,1,-2,1104
1104,2,-2,1037
1037,2,-2,937
937,0,0,838
838,1,-2,773
773,0,0,707
707,0,0,641
641,2,-2,0
1633,1,-2,1667
1667,2,-2,1666
1666,2,-2,1632
1632,0,0,1599
1599,0,0,1566
1566,0,0,1533
1533,2,-2,1466
1466,2,-2,1366
1366,0,0,1267
1267,1,-2,1202
1202,2,-2,1102
1102,2,-2,969
969,0,0,0
1768,0,0,1867
1867,0,0,1966
1966,0,0,0
1533,1,-2,1534
1534,0,0,1534
1534,2,-2,1500
1500,1,-2,1501
1501,0,0,1501
1501,0,0,1501
1501,1,-2,1535
1535,2,-2,1534
1534,0,0,1534
1534,0,0,1534
1534,1,-2,1568
1568,0,0,1601
1701,0,0,1767
1767,1,-2,1867
1867,1,-2,2000
2000,1,-2,2166
2166,2,-2,0
1429,0,0,1231
1231,1,-2,1067
1067,0,0,902
902,1,-2,0
1369,2,-2,1335
1335,0,0,1302
1302,0,0,1269
1269,0,0,1236
1236,0,0,1203
1203,0,0,1170
1170,1,-2,1171
1171,0,0,1171
1171,1,-2,1205
1205,2,-2,1204
972,2,-2,905
905,2,-2,805
805,1,-2,740
740,0,0,674
674,0,0,608
608,0,0,542
542,2,-2,442
442,1,-2,377
377,0,0,311
311,0,0,0
1175,0,0,1307
1307,1,-2,1473
1473,2,-2,1604
1604,0,0,1736
1736,2,-2,1834
1834,2,-2,1899
1899,0,0,0
1563,0,0,1431
1431,0,0,1299
1299,0,0,1167
1167,0,0,1035
1035,1,-2,937
937,1,-2,872
872,2,-2,0
1041,1,-2,1141
1141,1,-2,1274
1274,0,0,1406
1406,0,0,1538
1538,0,0,1670
1670,1,-2,1836
1836,2,-2,1967
1967,2,-2,2065
2065,1,-2,2198
2198,2,-2,2296
2296,1,-2,0
1177,0,0,1375
1375,2,-2,1539
1539,2,-2,1670
1670,0,0,1802
1802,1,-2,0
1075,2,-2,1140
1140,0,0,1206
1206,0,0,1272
1272,0,0,1338
1338,0,0,1404
1404,0,0,1470
1470,0,0,1536
1536,0,0,1602
1602,1,-2,1702
1702,1,-2,0
1369,0,0,1369
1369,1,-2,1403
1403,0,0,1436
1436,0,0,1469
1469,2,-2,1468
1468,0,0,1468
1468,2,-2,1434
1434,0,0,1401
1401,2,-2,1334
1334,1,-2,1302
1302,1,-2,1303
1303,0,-1000,0
1170,1,-2,1171
1171,0,0,1171
1171,1,-2,1205
1205,1,-2,1272
1272,2,-2,1304
1304,1,-2,1371
1371,0,0,1437
1437,0,0,1503
1503,1,-2,0
1799,0,0,1832
1832,0,0,1865
1865,2,-2,1864
1864,0,0,1864
1864,0,0,1864
1864,2,-2,0
1233,2,-2,1067
1067,0,0,902
902,0,0,737
737,1,-2,606
606,0,0,0
1400,2,-2,1300
1300,0,0,1201
1201,1,-2,1136
1136,1,-2,1104
1104,0,0,1071
1071,0,0,1038
1038,2,-2,971
971,2,-2,871
871,0,0,772
772,0,0,673
1006,1,-2,1040
1040,0,0,1073
1073,0,0,1106
1106,0,0,1139
1139,0,0,1172
1172,0,0,1205
1205,0,0,1238
1238,0,0,1271
1271,0,0,1304
1304,2,-2,1303
1303,0,-1000,0
1338,0,0,1404
1404,2,-2,1436
1436,1,-2,1503
1503,0,0,1569
1569,1,-2,1669
1669,0,0,1768
1768,2,-2,1833
1833,0,0,1899
1899,0,0,1965
1965,0,0,0
1040,1,-2,1107
1107,0,0,1173
1173,2,-2,1205
1205,0,0,1238
1238,0,0,1271
1271,0,0,1304
1304,2,-2,1303
1303,0,0,1303
1303,1,-2,1337
1337,2,-2,1336
1235,2,-2,1135
1135,1,-2,1070
1070,2,-2,970
970,0,0,871
871,0,0,772
772,0,0,673
673,0,0,574
574,0,0,475
475,0,0,0
911,2,-2,1009
1009,0,0,1108
1108,1,-2,1241
1241,0,0,1373
1373,0,0,1505
1505,0,0,1637
1637,1,-2,1803
1803,1,-2,2002
2002,0,0,0
1667,2,-2,1666
1666,0,0,1666
1666,2,-2,1632
1632,1,-2,1633
1633,1,-2,1667
1667,0,0,1700
1700,2,-2,1699
1699,0,0,1699
1699,2,-2,1665
1665,2,-2,0
1500,2,-2,1433
1433,2,-2,1333
1333,0,0,1234
1234,1,-2,1169
1169,2,-2,1069
1069,0,0,970
970,0,0,871
871,0,0,772
772,2,-2,639
639,0,0,507
507,0,0,0
1208,1,-2,1374
1374,1,-2,1573
1573,1,-2,1805
1805,0,0,2036
2036,2,-2,2233
2233,1,-2,0
1367,0,0,1301
1301,0,0,1235
1235,0,0,1169
1169,1,-2,1137
1137,2,-2,1070
1070,0,0,1004
1004,0,0,938
938,0,0,872
872,2,-2,772
772,0,0,673
673,0,0,0
939,0,0,906
906,2,-2,839
839,1,-2,807
807,0,0,774
774,1,-2,775
775,2,-2,741
741,1,-2,742
742,1,-2,776
776,1,-2,0
1236,0,0,1203
1203,1,-2,1204
1204,1,-2,1238
1238,0,0,1271
1271,2,-2,1270
1270,0,0,1270
1270,1,-2,1304
1304,0,0,1337
1337,2,-2,1336
1336,1,-2,1370
1370,0,0,1403
1171,0,0,1171
1171,2,-2,1137
1137,1,-2,1138
1138,0,0,1138
1138,0,0,1138
1138,0,0,1138
1138,2,-2,1104
1104,0,0,1071
1071,0,0,1038
1038,1,-2,1039
1039,1,-2,1073
1073,2,-2,1072
1072,1,-2,1106
1106,2,-2,1105
1105,0,0,1105
1105,2,-2,1071
1533,0,0,1500
1500,0,0,1467
1467,0,0,1434
1434,0,0,1401
1401,0,0,1368
1368,2,-2,1301
1301,1,-2,1269
1269,2,-2,1202
1202,1,-2,1170
1170,0,0,1137
1468,0,0,1468
1468,0,0,1468
1468,1,-2,1502
1502,0,0,1535
1535,0,0,1568
1568,0,0,1601
1601,0,0,1634
1634,0,0,1667
1667,0,0,1700
1700,1,-2,1767
1767,2,-2,1799
1799,2,-2,1798
1798,0,0,1798
1798,2,-2,1764
1764,2,-2,1697
1697,2,-2,1597
1597,0,0,1498
1498,2,-2,1365
1633,0,0,1633
1633,2,-2,1599
1599,0,0,1566
1566,2,-2,1499
1499,0,0,1433
1433,1,-2,1401
1401,1,-2,1402
1402,2,-2,1368
1368,1,-2,1369
1369,2,-2,1335
1335,0,0,1302
1302,0,0,1269
1269,0,0,1236
1236,0,0,1203
1203,0,0,1170
1170,0,0,1137
1137,0,0,1104
1104,1,-2,1105
1105,1,-2,1139
1139,2,-2,1138
1137,2,-2,1070
1070,2,-2,970
970,0,0,871
871,0,0,772
772,1,-2,707
707,2,-2,607
607,0,0,508
508,2,-2,375
375,2,-2,209
209,1,-2,0
1106,0,0,1139
1139,0,0,1172
1172,0,0,1205
1205,0,0,1238
1238,1,-2,1305
1305,2,-2,1337
1337,1,-2,1404
1404,0,0,1470
1470,0,0,1536
1536,1,-2,1636
1636,0,0,1735
1735,0,0,1834
1834,1,-2,1967
1140,0,0,1206
1206,0,0,1272
1272,1,-2,1372
1372,0,0,1471
1471,0,0,1570
1570,2,-2,1635
1635,1,-2,1735
1735,1,-2,1868
1868,0,0,2000
2000,0,0,2132
2132,0,0,2264
2264,1,-2,2430
2430,2,-2,0
1035,0,0,903
903,2,-2,737
737,0,0,0
1402,1,-2,1436
1436,0,0,1469
1469,0,0,1502
1502,1,-2,1569
1569,0,0,1635
1635,1,-2,1735
1735,0,0,1834
1834,1,-2,1967
1967,1,-2,0
1733,0,0,1766
1766,0,0,1799
1799,2,-2,1798
1798,0,0,1798
1798,1,-2,1832
1832,1,-2,1899
1899,0,0,1965
1965,0,0,0
1767,0,0,1833
1833,0,0,1899
1899,0,0,1965
1965,2,-2,0
843,1,-2,943
943,0,0,1042
1042,2,-2,1107
1107,0,0,1173
1173,2,-2,1205
1205,0,0,1238
1238,0,0,1271
1271,2,-2,1270
1270,0,0,1270
1270,0,0,1270
1270,0,0,1270
1893,0,0,1761
1761,0,0,1629
1629,0,0,1497
1497,1,-2,1399
1399,0,0,1300
1300,2,-2,1167
1167,0,0,1035
1035,0,0,903
903,0,0,771
771,1,-2,0
1070,2,-2,970
970,0,0,871
871,0,0,772
772,0,0,673
673,0,0,574
574,0,0,475
475,0,0,0
1234,1,-2,1169
1169,0,0,1103
1103,0,0,1037
1037,1,-2,1005
1005,1,-2,1006
1006,2,-2,0
1271,2,-2,1270
1270,0,0,1270
1270,0,0,1270
1270,0,0,1270
1270,0,0,1270
1270,0,0,1270
1270,1,-2,1304
1304,1,-2,1371
1371,1,-2,1471
1471,2,-2,1536
1536,0,0,1602
1602,2,-2,1634
1500,0,0,1467
1467,2,-2,1400
1400,0,0,1334
1334,0,0,1268
1268,1,-2,1236
1236,1,-2,1237
1237,1,-2,1271
1271,2,-2,1270
1270,1,-2,1304
1304,0,0,1337
1337,1,-2,1404
1404,0,0,1470
1470,0,0,1536
1536,1,-2,1636
1636,1,-2,0
1631,0,0,1565
1565,0,0,1499
1499,1,-2,1467
1467,1,-2,1468
1468,2,-2,1434
1434,0,0,1401
1401,0,0,1368
1368,1,-2,1369
1369,0,0,1369
1369,2,-2,1335
1335,2,-2,1268
1268,0,0,1202
1202,1,-2,1170
1170,1,-2,1171
1369,1,-2,1403
1403,0,0,1436
1436,2,-2,1435
1435,0,0,1435
1435,1,-2,1469
1469,0,0,1502
1502,2,-2,1501
1501,0,0,1501
1501,2,-2,1467
1467,2,-2,1400
1400,0,0,1334
1334,1,-2,1302
1302,1,-2,1303
1303,0,0,1303
1303,0,0,1303
1303,0,-1000,0
1435,0,0,1435
1435,2,-2,1401
1401,2,-2,1334
1334,0,0,1268
1268,2,-2,1168
